dtDia,qtdeTransacao,qtdeTransacaoAcum
2024-07-18,442,114289
2024-07-19,825,115114
2024-07-22,448,115562
2024-07-23,675,116237
2024-07-25,24,116261
2024-07-29,785,117046
2024-07-30,774,117820
2024-07-31,677,118497
2024-08-01,576,119073
2024-08-02,569,119642
2024-08-05,324,119966
2024-08-06,374,120340
2024-08-07,451,120791
2024-08-08,361,121152
2024-08-09,514,121666
2024-08-12,268,121934
2024-08-13,424,122358
2024-08-14,412,122770
2024-08-15,390,123160
2024-08-16,719,123879
2024-08-19,944,124823
2024-08-20,423,125246
2024-08-21,619,125865
2024-08-22,378,126243
2024-08-23,359,126602
2024-08-26,574,127176
2024-08-27,493,127669
2024-08-28,325,127994
2024-08-29,294,128288
2024-08-30,936,129224
2024-09-02,376,129600
2024-09-03,473,130073
2024-09-04,481,130554
2024-09-05,559,131113
2024-09-06,670,131783
2024-09-09,688,132471
2024-09-10,721,133192
2024-09-11,32,133224
2024-09-12,14,133238
2024-09-13,15,133253
2024-09-15,2,133255
2024-09-16,784,134039
2024-09-17,293,134332
2024-09-18,527,134859
2024-09-19,628,135487
2024-09-20,550,136037
2024-09-23,721,136758
2024-09-24,741,137499
2024-09-25,1259,138758
2024-09-26,799,139557
2024-09-27,359,139916
2024-09-30,810,140726
2024-10-01,671,141397
2024-10-02,14,141411
2024-10-03,449,141860
2024-10-04,568,142428
2024-10-07,412,142840
2024-10-08,429,143269
2024-10-09,400,143669
2024-10-10,375,144044
2024-10-14,407,144451
2024-10-15,380,144831
2024-10-16,569,145400
2024-10-17,464,145864
2024-10-18,518,146382
2024-10-21,408,146790
2024-10-22,265,147055
2024-10-23,2,147057
2024-10-24,74,147131
2024-10-25,346,147477
2024-10-28,279,147756
2024-10-29,187,147943
2024-10-30,320,148263
2024-10-31,227,148490
2024-11-01,398,148888
2024-11-02,2,148890
2024-11-03,2,148892
2024-11-04,185,149077
2024-11-05,251,149328
2024-11-06,424,149752
2024-11-07,387,150139
2024-11-08,331,150470
2024-11-09,2,150472
2024-11-10,2,150474
2024-11-11,225,150699
2024-11-12,262,150961
2024-11-13,162,151123
2024-11-14,244,151367
2024-11-15,2,151369
2024-11-17,2,151371
2024-11-18,14,151385
2024-11-19,268,151653
2024-11-20,131,151784
2024-11-21,236,152020
2024-11-22,267,152287
2024-11-24,3,152290
2024-11-25,313,152603
2024-11-26,337,152940
2024-11-27,337,153277
2024-11-28,402,153679
2024-11-29,306,153985
2024-12-01,2,153987
2024-12-02,281,154268
2024-12-03,250,154518
2024-12-04,379,154897
2024-12-05,344,155241
2024-12-06,486,155727
2024-12-07,3,155730
2024-12-08,2,155732
2024-12-09,443,156175
2024-12-10,556,156731
2024-12-11,700,157431
2024-12-12,453,157884
2024-12-13,598,158482
2024-12-14,36,158518
2024-12-15,2,158520
2024-12-16,455,158975
2024-12-17,302,159277
2024-12-18,823,160100
2024-12-19,299,160399
2024-12-20,379,160778
2024-12-21,2,160780
2024-12-22,2,160782
2024-12-23,13,160795
2024-12-24,6,160801
2024-12-25,4,160805
2024-12-26,8,160813
2024-12-27,9,160822
2024-12-28,50,160872
2024-12-29,5,160877
2024-12-30,6,160883
2024-12-31,4,160887
2025-01-01,9,160896
2025-01-02,372,161268
2025-01-03,506,161774
2025-01-04,3,161777
2025-01-05,4,161781
2025-01-06,323,162104
2025-01-07,361,162465
2025-01-08,310,162775
2025-01-09,372,163147
2025-01-10,198,163345
2025-01-11,4,163349
2025-01-12,15,163364
2025-01-13,390,163754
2025-01-14,405,164159
2025-01-15,577,164736
2025-01-16,388,165124
2025-01-17,461,165585
2025-01-18,2,165587
2025-01-19,5,165592
2025-01-20,618,166210
2025-01-21,395,166605
2025-01-22,382,166987
2025-01-23,469,167456
2025-01-24,603,168059
2025-01-25,3,168062
2025-01-26,2,168064
2025-01-27,1137,169201
2025-01-28,745,169946
2025-01-29,618,170564
2025-01-30,802,171366
2025-01-31,595,171961
2025-02-01,6,171967
2025-02-02,2,171969
2025-02-03,353,172322
2025-02-04,446,172768
2025-02-05,442,173210
2025-02-06,419,173629
2025-02-07,473,174102
2025-02-08,2,174104
2025-02-09,5,174109
2025-02-10,1246,175355
2025-02-11,758,176113
2025-02-12,675,176788
2025-02-13,698,177486
2025-02-14,844,178330
2025-02-15,2,178332
2025-02-16,2,178334
2025-02-17,541,178875
2025-02-18,694,179569
2025-02-19,804,180373
2025-02-20,8,180381
2025-02-21,380,180761
2025-02-22,2,180763
2025-02-23,2,180765
2025-02-24,462,181227
2025-02-25,447,181674
2025-02-26,319,181993
2025-02-27,288,182281
2025-02-28,367,182648
2025-03-01,1,182649
2025-03-02,2,182651
2025-03-03,2,182653
2025-03-04,2,182655
2025-03-05,7,182662
2025-03-06,236,182898
2025-03-07,409,183307
2025-03-08,2,183309
2025-03-09,2,183311
2025-03-10,753,184064
2025-03-11,567,184631
2025-03-12,595,185226
2025-03-13,346,185572
2025-03-14,870,186442
2025-03-15,2,186444
2025-03-16,3,186447
2025-03-17,422,186869
2025-03-18,396,187265
2025-03-19,584,187849
2025-03-20,426,188275
2025-03-21,352,188627
2025-03-22,1,188628
2025-03-23,1,188629
2025-03-24,395,189024
2025-03-25,252,189276
2025-03-26,374,189650
2025-03-27,152,189802
2025-03-28,358,190160
2025-03-29,2,190162
2025-03-30,4,190166
2025-03-31,264,190430
2025-04-01,311,190741
2025-04-02,211,190952
2025-04-03,503,191455
2025-04-04,350,191805
2025-04-05,2,191807
2025-04-06,2,191809
2025-04-07,240,192049
2025-04-08,259,192308
2025-04-09,144,192452
2025-04-10,291,192743
2025-04-11,319,193062
2025-04-12,6,193068
2025-04-13,1,193069
2025-04-14,181,193250
2025-04-15,286,193536
2025-04-16,194,193730
2025-04-17,247,193977
2025-04-18,94,194071
2025-04-19,2,194073
2025-04-20,2,194075
2025-04-21,322,194397
2025-04-22,341,194738
2025-04-23,498,195236
2025-04-24,421,195657
2025-04-25,253,195910
2025-04-26,2,195912
2025-04-27,9,195921
2025-04-28,280,196201
2025-04-29,501,196702
2025-04-30,189,196891
2025-05-01,3,196894
2025-05-02,258,197152
2025-05-03,6,197158
2025-05-04,3,197161
2025-05-05,685,197846
2025-05-06,646,198492
2025-05-07,588,199080
2025-05-08,468,199548
2025-05-09,445,199993
2025-05-10,2,199995
2025-05-11,3,199998
2025-05-12,317,200315
2025-05-13,429,200744
2025-05-14,260,201004
2025-05-15,261,201265
2025-05-16,6,201271
2025-05-17,1,201272
2025-05-18,1,201273
2025-05-19,173,201446
2025-05-20,222,201668
2025-05-21,128,201796
2025-05-22,392,202188
2025-05-23,214,202402
2025-05-24,1,202403
2025-05-25,2,202405
2025-05-26,161,202566
2025-05-27,156,202722
2025-05-28,330,203052
2025-05-29,320,203372
2025-05-30,187,203559
2025-05-31,1,203560
2025-06-02,261,203821
2025-06-03,155,203976
2025-06-04,159,204135
2025-06-05,207,204342
2025-06-06,269,204611
2025-06-07,4,204615
2025-06-08,2,204617
2025-06-09,941,205558
2025-06-10,556,206114
2025-06-11,501,206615
2025-06-12,477,207092
2025-06-13,583,207675
2025-06-14,2,207677
2025-06-15,2,207679
2025-06-16,424,208103
2025-06-17,443,208546
2025-06-18,310,208856
2025-06-19,261,209117
2025-06-20,7,209124
2025-06-21,3,209127
2025-06-22,3,209130
2025-06-23,302,209432
2025-06-24,247,209679
2025-06-25,150,209829
2025-06-26,150,209979
2025-06-27,161,210140
2025-06-28,2,210142
2025-06-29,1,210143
2025-06-30,113,210256
2025-07-01,360,210616
2025-07-02,265,210881
2025-07-03,349,211230
2025-07-04,194,211424
2025-07-05,1,211425
2025-07-06,1,211426
2025-07-07,122,211548
2025-07-08,186,211734
2025-07-09,167,211901
2025-07-10,313,212214
2025-07-11,225,212439
2025-07-12,3,212442
2025-07-13,5,212447
2025-07-14,219,212666
2025-07-15,235,212901
2025-07-16,547,213448
2025-07-17,264,213712
2025-07-18,527,214239
2025-07-19,7,214246
2025-07-20,6,214252
2025-07-21,225,214477
2025-07-22,290,214767
2025-07-23,168,214935
2025-07-24,411,215346
2025-07-25,10,215356
2025-07-26,3,215359
2025-07-27,3,215362
2025-07-28,230,215592
2025-07-29,323,215915
2025-07-30,7,215922
2025-07-31,8,215930
2025-08-01,9,215939
2025-08-02,3,215942
2025-08-03,9,215951
2025-08-04,385,216336
2025-08-05,274,216610
2025-08-06,409,217019
2025-08-07,138,217157
2025-08-08,389,217546
2025-08-09,6,217552
2025-08-10,1,217553
2025-08-11,418,217971
2025-08-12,141,218112
2025-08-13,158,218270
2025-08-14,200,218470
2025-08-15,7,218477
2025-08-16,5,218482
2025-08-17,5,218487
2025-08-18,176,218663
2025-08-19,179,218842
2025-08-20,183,219025
2025-08-21,109,219134
2025-08-22,281,219415
2025-08-23,2,219417
2025-08-24,5,219422
2025-08-25,2734,222156
2025-08-26,1916,224072
2025-08-27,1733,225805
2025-08-28,1889,227694
2025-08-29,3420,231114
2025-08-31,1,231115
2025-09-01,968,232083
2025-09-02,847,232930
2025-09-03,878,233808
2025-09-04,1561,235369
2025-09-05,1596,236965
2025-09-06,3,236968
2025-09-07,2,236970
2025-09-08,351,237321
2025-09-09,455,237776
2025-09-10,506,238282
2025-09-11,415,238697
2025-09-12,674,239371
2025-09-13,2,239373
2025-09-14,4,239377
2025-09-15,387,239764
2025-09-16,650,240414
2025-09-17,453,240867
2025-09-18,499,241366
2025-09-19,621,241987
2025-09-20,4,241991
2025-09-21,3,241994
2025-09-22,637,242631
2025-09-23,642,243273
2025-09-24,397,243670
2025-09-25,610,244280
2025-09-26,766,245046
2025-09-27,4,245050
2025-09-28,2,245052
2025-09-29,1659,246711
2025-09-30,1432,248143
2025-10-01,1187,249330
2025-10-02,1071,250401
2025-10-03,2492,252893
2025-10-04,25,252918
2025-10-05,16,252934
2025-10-06,781,253715
2025-10-07,833,254548
2025-10-08,1176,255724
2025-10-09,692,256416
2025-10-10,708,257124
2025-10-11,9,257133
2025-10-12,4,257137
2025-10-13,462,257599
2025-10-14,666,258265
2025-10-15,427,258692
2025-10-16,1099,259791
2025-10-17,350,260141
2025-10-18,10,260151
2025-10-19,11,260162
2025-10-20,979,261141
2025-10-21,803,261944
2025-10-22,638,262582
2025-10-23,561,263143
2025-10-24,62,263205
2025-10-25,6,263211
2025-10-26,3,263214
2025-10-27,479,263693
2025-10-28,518,264211
2025-10-29,538,264749
2025-10-30,440,265189
2025-10-31,431,265620
2025-11-01,5,265625
2025-11-02,4,265629
2025-11-03,798,266427
2025-11-04,610,267037
2025-11-05,564,267601
2025-11-06,541,268142
2025-11-07,676,268818
2025-11-08,5,268823
2025-11-09,5,268828
2025-11-10,27,268855
2025-11-11,15,268870
2025-11-12,20,268890
2025-11-13,715,269605
2025-11-14,404,270009
2025-11-15,9,270018
2025-11-16,6,270024
2025-11-17,496,270520
2025-11-18,445,270965
2025-11-19,208,271173
2025-11-20,152,271325
2025-11-21,182,271507
2025-11-22,8,271515
2025-11-23,3,271518
2025-11-24,194,271712
2025-11-25,451,272163
2025-11-26,378,272541
2025-11-27,263,272804
2025-11-28,798,273602
2025-11-29,11,273613
2025-11-30,12,273625
2025-12-01,701,274326
2025-12-02,499,274825
2025-12-03,437,275262
2025-12-04,1187,276449
2025-12-05,696,277145
2025-12-06,8,277153
2025-12-07,14,277167
2025-12-08,374,277541
2025-12-09,232,277773
2025-12-10,500,278273
2025-12-11,643,278916
2025-12-12,629,279545
2025-12-13,9,279554
2025-12-14,12,279566
2025-12-15,613,280179
2025-12-16,808,280987
2025-12-17,734,281721
2025-12-18,834,282555
2025-12-19,849,283404
2025-12-20,4,283408
2025-12-21,7,283415
2025-12-22,14,283429
2025-12-23,13,283442
2025-12-24,7,283449
2025-12-25,4,283453
2025-12-26,7,283460
2025-12-27,5,283465
2025-12-28,2,283467
2025-12-29,7,283474
2025-12-30,8,283482
2025-12-31,5,283487
2026-01-01,7,283494
2026-01-02,6,283500
2026-01-03,9,283509
2026-01-04,3,283512
2026-01-05,439,283951
2026-01-06,689,284640
2026-01-07,620,285260
2026-01-08,270,285530
2026-01-09,641,286171
2026-01-10,7,286178
2026-01-11,6,286184
2026-01-12,597,286781
2026-01-13,505,287286
2026-01-14,581,287867
2026-01-15,549,288416
2026-01-16,507,288923
2026-01-17,7,288930
2026-01-18,8,288938
2026-01-19,30,288968
2026-01-20,15,288983
2026-01-21,14,288997
2026-01-22,17,289014
2026-01-23,24,289038
2026-01-24,10,289048
2026-01-25,3,289051
2026-01-26,12,289063
2026-01-27,10,289073
2026-01-28,209,289282
2026-01-29,340,289622
2026-01-30,219,289841
2026-01-31,5,289846
2026-02-01,4,289850
2026-02-02,210,290060
2026-02-03,145,290205
2026-02-04,385,290590
2026-02-05,427,291017
2026-02-06,308,291325
2026-02-07,8,291333
2026-02-08,7,291340
2026-02-09,154,291494
2026-02-10,274,291768
2026-02-11,648,292416
2026-02-12,566,292982
2026-02-13,615,293597
2026-02-14,7,293604
2026-02-15,9,293613
2026-02-16,13,293626
2026-02-17,9,293635
2026-02-18,16,293651
2026-02-19,752,294403
2026-02-20,530,294933
2026-02-21,10,294943
2026-02-22,8,294951
2026-02-23,354,295305
2026-02-24,1027,296332
2026-02-25,664,296996
2026-02-26,485,297481
2026-02-27,2915,300396
2026-02-28,5,300401
2026-03-01,5,300406
2026-03-02,452,300858
2026-03-03,371,301229
2026-03-04,313,301542
2026-03-05,378,301920
2026-03-06,316,302236
2026-03-07,5,302241
2026-03-08,9,302250
2026-03-09,175,302425
2026-03-10,461,302886
2026-03-11,21,302907
2026-03-12,246,303153
2026-03-13,222,303375
2026-03-14,9,303384
2026-03-15,7,303391
2026-03-16,172,303563
2026-03-17,186,303749
2026-03-18,335,304084
2026-03-19,357,304441
2026-03-20,598,305039
2026-03-21,9,305048
2026-03-22,6,305054
2026-03-23,224,305278
2026-03-24,415,305693
2026-03-25,320,306013
2026-03-26,315,306328
2026-03-27,414,306742
2026-03-28,5,306747
2026-03-29,2,306749
2026-03-30,351,307100
2026-03-31,395,307495
2026-04-01,475,307970
2026-04-02,896,308866
2026-04-03,377,309243
2026-04-04,100,309343
2026-04-05,4,309347
2026-04-06,450,309797
2026-04-07,360,310157
2026-04-08,316,310473
2026-04-09,484,310957
2026-04-10,174,311131
2026-04-11,18,311149
2026-04-12,5,311154
2026-04-13,421,311575
2026-04-14,710,312285
2026-04-15,305,312590
2026-04-16,243,312833
2026-04-17,440,313273
2026-04-18,7,313280
2026-04-19,4,313284
2026-04-20,406,313690
2026-04-21,106,313796
2026-04-22,257,314053
2026-04-23,27,314080
2026-04-24,307,314387
2026-04-25,7,314394
2026-04-26,5,314399
2026-04-27,465,314864
2026-04-28,414,315278
2026-04-29,374,315652
2026-04-30,620,316272
2026-05-01,11,316283
2026-05-02,6,316289
2026-05-03,4,316293
2026-05-04,263,316556
2026-05-05,316,316872
2026-05-06,343,317215
2026-05-07,275,317490
2026-05-08,341,317831
2026-05-09,5,317836
2026-05-10,6,317842
2026-05-11,242,318084
2026-05-12,353,318437
2026-05-13,184,318621
2026-05-14,514,319135
2026-05-15,761,319896
2026-05-16,3,319899
2026-05-17,6,319905
2026-05-18,536,320441
2026-05-19,271,320712
2026-05-20,500,321212
2026-05-21,1,321213
